"Id";"Region";"ActivityDate";"TotalSteps";"TotalDistance_Kms";"DailyCalories";"ExtraCalories";"SedentaryMinutes";"LightlyActiveMinutes";"FairlyActiveMinutes";"VeryActiveMinutes";"SedentaryActiveDistance_Kms";"LightActiveDistance_Kms";"ModeratelyActiveDistance_Kms";"VeryActiveDistance_Kms";"TotalMinutesAsleep";"WeightKg";"BMI"
1503960366;"North";"2016-04-12";13162;8.5;1985;1985;728;328;13;25;0.0;6.06;0.55;1.88;0;0;0
1503960366;"East";"2016-04-13";10735;6.97;1797;1797;776;217;19;21;0.0;4.71;0.69;1.57;0;0;0
1503960366;"West";"2016-04-14";10460;6.74;1776;1776;1218;181;11;30;0.0;3.91;0.4;2.44;0;0;0
1503960366;"South";"2016-04-15";9762;6.28;1745;1745;726;209;34;29;0.0;2.83;1.26;2.14;0;0;0
1503960366;"West";"2016-04-16";12669;8.16;1863;1863;773;221;10;36;0.0;5.04;0.41;2.71;0;0;0
1503960366;"West";"2016-04-17";9705;6.48;1728;1728;539;164;20;38;0.0;2.51;0.78;3.19;0;0;0
1503960366;"South";"2016-04-18";13019;8.59;1921;1921;1149;233;16;42;0.0;4.71;0.64;3.25;0;0;0
1503960366;"North";"2016-04-19";15506;9.88;2035;2035;775;264;31;50;0.0;5.03;1.32;3.53;0;0;0
1503960366;"East";"2016-04-20";10544;6.68;1786;1786;818;205;12;28;0.0;4.24;0.48;1.96;0;0;0
1503960366;"West";"2016-04-21";9819;6.34;1775;1775;838;211;8;19;0.0;4.65;0.35;1.34;0;0;0
1503960366;"West";"2016-04-22";12764;8.13;1827;1827;1217;130;27;66;0.0;2.24;1.12;4.76;0;0;0
1503960366;"South";"2016-04-23";14371;9.04;1949;1949;732;262;21;41;0.0;5.36;0.87;2.81;0;0;0
1503960366;"North";"2016-04-24";10039;6.41;1788;1788;709;238;5;39;0.0;3.28;0.21;2.92;0;0;0
1503960366;"East";"2016-04-25";15355;9.8;2013;2013;814;216;14;73;0.0;3.94;0.57;5.29;0;0;0
1503960366;"West";"2016-04-26";13755;8.79;1970;1970;833;279;23;31;0.0;5.54;0.92;2.33;0;0;0
1503960366;"West";"2016-04-27";18134;12.21;2159;2159;1108;243;11;78;0.0;5.41;0.41;6.4;0;0;0
1503960366;"South";"2016-04-28";13154;8.53;1898;1898;782;189;28;48;0.0;3.79;1.16;3.54;0;0;0
1503960366;"South";"2016-04-29";11181;7.15;1837;1837;815;243;12;16;0.0;5.58;0.5;1.06;0;0;0
1503960366;"North";"2016-04-30";14673;9.25;1947;1947;712;217;34;52;0.0;4.27;1.42;3.56;0;0;0
1503960366;"East";"2016-05-01";10602;6.81;1820;1820;730;246;35;33;0.0;2.92;1.6;2.29;0;0;0
1503960366;"West";"2016-05-02";14727;9.71;2004;2004;798;277;15;41;0.0;5.92;0.57;3.21;0;0;0
1503960366;"East";"2016-05-03";15103;9.66;1990;1990;816;254;24;50;0.0;4.88;1.05;3.73;0;0;0
1503960366;"West";"2016-05-04";11100;7.15;1819;1819;1179;203;22;36;0.0;3.82;0.87;2.46;0;0;0
1503960366;"South";"2016-05-05";14070;8.9;1959;1959;857;250;24;45;0.0;4.88;1.08;2.92;515;0;0
1503960366;"South";"2016-05-06";12159;8.03;1896;1896;754;289;6;24;0.0;5.81;0.25;1.97;0;0;0
1503960366;"North";"2016-05-07";11992;7.71;1821;1821;833;175;46;37;0.0;3.13;2.12;2.46;0;0;0
1503960366;"East";"2016-05-08";10060;6.58;1740;1740;574;203;8;44;0.0;2.73;0.32;3.53;0;0;0
1503960366;"West";"2016-05-09";12022;7.72;1819;1819;835;206;11;46;0.0;3.74;0.53;3.45;0;0;0
1503960366;"South";"2016-05-10";12207;7.77;1859;1859;746;214;31;46;0.0;3.26;1.16;3.35;0;0;0
1503960366;"North";"2016-05-11";12770;8.13;1783;1783;669;251;23;36;0.0;4.55;1.01;2.56;0;0;0
1503960366;"East";"2016-05-12";0;0.0;0;0;1440;0;0;0;0.0;0.0;0.0;0.0;0;0;0
1624580081;"North";"2016-04-12";8163;5.31;1432;1432;1294;146;0;0;0.0;5.31;0.0;0.0;0;0;0
1624580081;"West";"2016-04-13";7007;4.55;1411;1411;1292;148;0;0;0.0;4.55;0.0;0.0;0;0;0
1624580081;"South";"2016-04-14";9107;5.92;1572;1572;1204;236;0;0;0.01;5.91;0.0;0.0;0;0;0
1624580081;"North";"2016-04-15";1510;0.98;1344;1344;1344;96;0;0;0.0;0.97;0.0;0.0;0;0;0
1624580081;"East";"2016-04-16";5370;3.49;1463;1463;1264;176;0;0;0.0;3.49;0.0;0.0;0;0;0
1624580081;"East";"2016-04-17";6175;4.06;1554;1554;1276;127;22;15;0.01;1.49;1.52;1.03;0;0;0
1624580081;"West";"2016-04-18";10536;7.41;1604;1604;1214;202;7;17;0.01;4.62;0.62;2.15;0;0;0
1624580081;"North";"2016-04-19";2916;1.9;1435;1435;1299;141;0;0;0.0;1.9;0.0;0.0;0;0;0
1624580081;"East";"2016-04-20";4974;3.23;1446;1446;1289;151;0;0;0.0;3.23;0.0;0.0;0;0;0
1624580081;"West";"2016-04-21";6349;4.13;1467;1467;1254;186;0;0;0.02;4.11;0.0;0.0;0;0;0
1624580081;"South";"2016-04-22";4026;2.62;1470;1470;1241;199;0;0;0.0;2.6;0.0;0.0;0;0;0
1624580081;"South";"2016-04-23";8538;5.55;1562;1562;1213;227;0;0;0.01;5.54;0.0;0.0;0;0;0
1624580081;"North";"2016-04-24";6076;3.95;1617;1617;1221;185;18;16;0.0;1.89;0.91;1.15;0;0;0
1624580081;"East";"2016-04-25";6497;4.22;1492;1492;1238;202;0;0;0.02;4.2;0.0;0.0;0;0;0
1624580081;"West";"2016-04-26";2826;1.84;1402;1402;1300;140;0;0;0.01;1.83;0.0;0.0;0;0;0
1624580081;"South";"2016-04-27";8367;5.44;1670;1670;1233;154;36;17;0.0;2.46;1.87;1.11;0;0;0
1624580081;"North";"2016-04-28";2759;1.79;1401;1401;1320;115;5;0;0.0;1.6;0.2;0.0;0;0;0
1624580081;"East";"2016-04-29";2390;1.55;1404;1404;1290;150;0;0;0.0;1.55;0.0;0.0;0;0;0
1624580081;"North";"2016-04-30";6474;4.3;1655;1655;1182;224;23;11;0.01;2.12;1.28;0.9;0;0;0
1624580081;"East";"2016-05-01";36019;28.03;2690;2690;1020;171;63;186;0.02;1.91;4.19;21.92;0;0;0
1624580081;"West";"2016-05-02";7155;4.93;1497;1497;1261;166;6;7;0.0;3.47;0.59;0.86;0;0;0
1624580081;"South";"2016-05-03";2100;1.37;1334;1334;1344;96;0;0;0.02;1.34;0.0;0.0;0;0;0
1624580081;"West";"2016-05-04";2193;1.43;1368;1368;1322;118;0;0;0.0;1.42;0.0;0.0;0;0;0
1624580081;"West";"2016-05-05";2470;1.61;1370;1370;1323;117;0;0;0.02;1.58;0.0;0.0;423;0;0
1624580081;"South";"2016-05-06";1727;1.12;1341;1341;1338;102;0;0;0.01;1.12;0.0;0.0;0;0;0
1624580081;"North";"2016-05-07";2104;1.37;1474;1474;1258;182;0;0;0.0;1.37;0.0;0.0;0;0;0
1624580081;"East";"2016-05-08";3427;2.23;1427;1427;1288;152;0;0;0.0;2.22;0.0;0.0;0;0;0
1624580081;"West";"2016-05-09";1732;1.13;1328;1328;1349;91;0;0;0.0;1.13;0.0;0.0;0;0;0
1624580081;"West";"2016-05-10";2969;1.93;1393;1393;1301;139;0;0;0.01;1.92;0.0;0.0;0;0;0
1624580081;"South";"2016-05-11";3134;2.04;1359;1359;1328;112;0;0;0.0;2.04;0.0;0.0;0;0;0
1624580081;"North";"2016-05-12";2971;1.93;1002;1002;890;107;0;0;0.01;1.92;0.0;0.0;0;0;0
1644430081;"East";"2016-05-13";10694;7.77;3199;3199;1131;256;51;2;0.0;5.33;2.3;0.14;0;0;0
1644430081;"West";"2016-04-13";8001;5.82;2902;2902;1259;135;16;30;0.0;2.64;0.9;2.28;0;0;0
1644430081;"West";"2016-04-14";11037;8.02;3226;3226;1125;252;58;5;0.0;5.1;2.56;0.36;0;0;0
1644430081;"South";"2016-04-15";5263;3.83;2750;2750;1263;170;4;3;0.0;3.45;0.15;0.22;0;0;0
