"Id";"Region";"ActivityHour";"StepTotal";"Calories";"TotalIntensity";"AverageIntensity"
1503960366;"South";"2016-05-05 00:00:00";70;56;6;0
1503960366;"South";"2016-05-05 01:00:00";113;58;6;0
1503960366;"South";"2016-05-05 02:00:00";19;52;2;0
1503960366;"South";"2016-05-05 03:00:00";0;47;0;0
1503960366;"South";"2016-05-05 04:00:00";44;53;4;0
1503960366;"South";"2016-05-05 05:00:00";0;47;0;0
1503960366;"South";"2016-05-05 06:00:00";8;49;1;0
1503960366;"South";"2016-05-05 07:00:00";23;51;3;0
1503960366;"South";"2016-05-05 08:00:00";107;61;10;0
1503960366;"South";"2016-05-05 09:00:00";1615;131;26;0
1503960366;"South";"2016-05-05 10:00:00";360;78;15;0
1503960366;"South";"2016-05-05 11:00:00";28;59;4;0
1503960366;"South";"2016-05-05 12:00:00";318;75;13;0
1503960366;"South";"2016-05-05 13:00:00";1231;110;21;0
1503960366;"South";"2016-05-05 14:00:00";375;75;12;0
1503960366;"South";"2016-05-05 15:00:00";187;72;14;0
1503960366;"South";"2016-05-05 16:00:00";989;102;21;0
1503960366;"South";"2016-05-05 17:00:00";2217;154;70;1
1503960366;"South";"2016-05-05 18:00:00";715;95;30;1
1503960366;"South";"2016-05-05 19:00:00";348;82;20;0
1503960366;"South";"2016-05-05 20:00:00";283;79;19;0
1503960366;"South";"2016-05-05 21:00:00";3897;219;113;2
1503960366;"South";"2016-05-05 22:00:00";900;95;17;0
1503960366;"South";"2016-05-05 23:00:00";200;60;6;0
1624580081;"West";"2016-05-05 00:00:00";0;50;0;0
1624580081;"West";"2016-05-05 01:00:00";0;50;0;0
1624580081;"West";"2016-05-05 02:00:00";0;51;1;0
1624580081;"West";"2016-05-05 03:00:00";0;50;0;0
1624580081;"West";"2016-05-05 04:00:00";0;50;0;0
1624580081;"West";"2016-05-05 05:00:00";0;50;0;0
1624580081;"West";"2016-05-05 06:00:00";116;56;3;0
1624580081;"West";"2016-05-05 07:00:00";0;51;1;0
1624580081;"West";"2016-05-05 08:00:00";0;50;0;0
1624580081;"West";"2016-05-05 09:00:00";0;52;1;0
1624580081;"West";"2016-05-05 10:00:00";0;50;0;0
1624580081;"West";"2016-05-05 11:00:00";497;83;25;0
1624580081;"West";"2016-05-05 12:00:00";97;67;14;0
1624580081;"West";"2016-05-05 13:00:00";523;87;26;0
1624580081;"West";"2016-05-05 14:00:00";340;64;6;0
1624580081;"West";"2016-05-05 15:00:00";83;58;4;0
1624580081;"West";"2016-05-05 16:00:00";48;55;3;0
1624580081;"West";"2016-05-05 17:00:00";82;56;4;0
1624580081;"West";"2016-05-05 18:00:00";52;52;1;0
1624580081;"West";"2016-05-05 19:00:00";419;68;12;0
1624580081;"West";"2016-05-05 20:00:00";9;51;1;0
1624580081;"West";"2016-05-05 21:00:00";60;56;4;0
1624580081;"West";"2016-05-05 22:00:00";76;61;8;0
1624580081;"West";"2016-05-05 23:00:00";68;54;3;0
1644430081;"East";"2016-05-05 00:00:00";0;84;0;0
1644430081;"East";"2016-05-05 01:00:00";0;84;0;0
1644430081;"East";"2016-05-05 02:00:00";0;84;0;0
1644430081;"East";"2016-05-05 03:00:00";0;84;0;0
1644430081;"East";"2016-05-05 04:00:00";0;84;0;0
1644430081;"East";"2016-05-05 05:00:00";0;84;0;0
1644430081;"East";"2016-05-05 06:00:00";0;84;0;0
1644430081;"East";"2016-05-05 07:00:00";0;84;0;0
1644430081;"East";"2016-05-05 08:00:00";475;122;8;0
1644430081;"East";"2016-05-05 09:00:00";0;84;0;0
1644430081;"East";"2016-05-05 10:00:00";0;84;0;0
1644430081;"East";"2016-05-05 11:00:00";0;84;0;0
1644430081;"East";"2016-05-05 12:00:00";308;110;7;0
1644430081;"East";"2016-05-05 13:00:00";15;86;1;0
1644430081;"East";"2016-05-05 14:00:00";0;84;0;0
1644430081;"East";"2016-05-05 15:00:00";0;84;0;0
1644430081;"East";"2016-05-05 16:00:00";0;84;0;0
1644430081;"East";"2016-05-05 17:00:00";631;135;9;0
1644430081;"East";"2016-05-05 18:00:00";325;115;7;0
1644430081;"East";"2016-05-05 19:00:00";832;165;29;0
1644430081;"East";"2016-05-05 20:00:00";190;108;7;0
1644430081;"East";"2016-05-05 21:00:00";162;123;11;0
